match_id,date_time,home_team_id,home_team_name,away_team_id,away_team_name
2017461,2025-05-17,868,Melbourne V FC,4177,Auckland FC
2015213,2025-05-03,1803,Western United,4177,Auckland FC
2013725,2025-04-27,1803,Western United,869,Sydney FC
2011166,2025-04-12,867,Wellington P FC,868,Melbourne V FC
2006229,2025-03-07,2380,Melbourne City,1804,Macarthur FC
1996435,2025-02-01,869,Sydney FC,866,Adelaide United
1953632,2024-12-31,870,CC Mariners,2380,Melbourne City
1925299,2024-12-21,1802,Brisbane FC,871,Perth Glory
1899585,2024-12-07,4177,Auckland FC,867,Wellington P FC
1886347,2024-11-30,4177,Auckland FC,1805,Newcastle
