player_id,player_name,player_position,team_shortname,top_movement,top_off_ball_runs,top_choice,top_choice_attempts,top_press,top_movement_build_up,top_movement_create,top_movement_finish,top_movement_direct,top_movement_quick_break,top_movement_transition,top_movement_set_play,top_movement_chaotic,top_off_ball_runs_build_up,top_off_ball_runs_create,top_off_ball_runs_finish,top_off_ball_runs_direct,top_off_ball_runs_quick_break,top_off_ball_runs_transition,top_off_ball_runs_set_play,top_off_ball_runs_chaotic,top_off_ball_runs_behind,top_off_ball_runs_coming_short,top_off_ball_runs_cross_receiver,top_off_ball_runs_dropping_off,top_off_ball_runs_overlap,top_off_ball_runs_pulling_half_space,top_off_ball_runs_pulling_wide,top_off_ball_runs_run_ahead_of_the_ball,top_off_ball_runs_support,top_off_ball_runs_underlap,top_press_pressing,top_press_pressure,top_press_counter_press,top_press_recovery_press,top_press_other,top_movement_winning,top_movement_drawing,top_movement_loosing,top_off_ball_runs_winning,top_off_ball_runs_drawing,top_off_ball_runs_loosing,top_choice_winning,top_choice_drawing,top_choice_loosing,top_choice_attempts_winning,top_choice_attempts_drawing,top_choice_attempts_loosing,top_press_winning,top_press_drawing,top_press_loosing,top_movement_left,top_movement_center,top_movement_right,top_movement_middle_third,top_movement_attacking_third,top_movement_penalty,top_off_ball_runs_left,top_off_ball_runs_center,top_off_ball_runs_right,top_off_ball_runs_middle_third,top_off_ball_runs_attacking_third,top_off_ball_runs_penalty,top_choice_left,top_choice_center,top_choice_right,top_choice_attempts_left,top_choice_attempts_center,top_choice_attempts_right,top_choice_middle_third,top_choice_attacking_third,top_choice_attempts_middle_third,top_choice_attempts_attacking_third,top_choice_penalty,top_choice_attempts_penalty,top_choice_build_up,top_choice_create,top_choice_finish,top_choice_direct,top_choice_quick_break,top_choice_transition,top_choice_set_play,top_choice_chaotic,top_choice_attempts_build_up,top_choice_attempts_create,top_choice_attempts_finish,top_choice_attempts_direct,top_choice_attempts_quick_break,top_choice_attempts_transition,top_choice_attempts_set_play,top_choice_attempts_chaotic,top_movement_jogging,top_movement_running,top_movement_hsr,top_movement_sprinting,top_off_ball_runs_running,top_off_ball_runs_hsr,top_off_ball_runs_sprinting
795151,M. Memeti,CF,Melbourne City,2.45,1.4,0.67,3.0,1.0,0.02,0.45,1.08,0.09,0.12,0.47,0.19,0.03,0.0,0.14,0.7,0.07,0.06,0.43,0.0,0.0,0.17,0.01,1.0,0.0,0.0,0.02,0.0,0.2,0.0,0.0,0.0,0.25,0.0,0.75,0.0,0.91,1.54,0.0,0.62,0.78,0.0,0.67,0.0,0.0,3.0,0.0,0.0,0.5,0.5,0.0,0.13,2.12,0.19,0.26,2.19,1.28,0.14,1.17,0.09,0.05,1.35,1.0,0.0,0.0,0.67,0.0,0.0,3.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.23,0.62,0.12,0.39,0.67,0.34,0.39
10549,T. Sainsbury,RCB,CC Mariners,0.14,0.0,0.52,27.0,1.25,0.0,0.03,0.05,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,-0.5,1.25,0.0,0.03,0.11,0.0,0.0,0.0,0.0,0.42,0.6,0.0,12.0,15.0,0.0,0.75,0.5,0.01,0.07,0.06,0.04,0.09,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.73,0.31,3.0,11.0,13.0,0.55,0.5,20.0,2.0,1.0,1.0,0.57,0.44,0.5,1.0,0.0,0.0,1.0,0.4,7.0,9.0,2.0,2.0,0.0,1.0,1.0,5.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
23930,S. Roux,RWB,CC Mariners,0.23,0.1,0.44,32.0,1.75,0.01,0.12,0.08,0.01,0.0,0.0,0.0,0.01,0.0,0.06,0.03,0.01,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.01,0.0,0.01,0.04,0.02,0.0,0.0,1.0,0.0,0.75,0.0,0.0,0.07,0.16,0.0,0.02,0.08,0.0,0.5,0.33,0.0,20.0,12.0,0.0,0.75,1.0,0.0,0.01,0.22,0.1,0.12,0.0,0.0,0.0,0.1,0.04,0.06,0.0,0.0,0.83,0.35,0.0,6.0,26.0,0.56,0.44,16.0,9.0,1.0,2.0,0.25,0.54,0.38,1.0,0.0,1.0,0.0,0.2,4.0,13.0,8.0,1.0,0.0,1.0,0.0,5.0,0.15,0.02,0.0,0.0,0.07,0.02,0.0
795509,C. Theoharous,LW,CC Mariners,0.49,0.11,0.43,7.0,2.0,0.02,0.09,0.08,0.01,0.0,0.04,0.23,0.01,0.01,0.02,0.04,0.0,0.0,0.04,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.01,0.0,1.0,0.0,0.25,0.75,0.0,0.14,0.35,0.0,0.07,0.04,0.0,0.67,0.25,0.0,3.0,4.0,0.0,1.75,0.25,0.19,0.3,0.0,0.13,0.36,0.06,0.06,0.05,0.0,0.02,0.09,0.0,0.33,0.67,0.0,3.0,3.0,1.0,0.33,0.5,3.0,2.0,1.0,1.0,1.0,0.0,0.5,0.0,0.0,1.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,1.0,0.0,1.0,0.36,0.09,0.02,0.0,0.1,0.0,0.0
51039,N. Smith,LWB,CC Mariners,0.17,0.08,0.4,10.0,2.0,0.01,0.09,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.02,0.0,0.0,1.5,0.0,0.25,0.25,0.0,0.02,0.15,0.0,0.01,0.07,0.0,0.5,0.33,0.0,4.0,6.0,0.0,2.0,0.0,0.17,0.0,0.0,0.09,0.07,0.05,0.08,0.0,0.0,0.08,0.0,0.0,0.44,0.0,0.0,9.0,1.0,0.0,0.29,0.0,7.0,0.0,0.0,0.0,0.5,0.4,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.09,0.01,0.07,0.0,0.04,0.04,0.0
104563,N. Atkinson,RM,Melbourne City,1.19,0.59,0.38,29.0,1.75,0.01,0.3,0.58,0.02,0.05,0.1,0.05,0.08,0.0,0.12,0.39,0.01,0.01,0.07,0.0,0.0,0.1,0.01,0.23,0.0,0.01,0.0,0.02,0.1,0.11,0.01,0.0,1.0,0.0,0.75,0.0,0.32,0.87,0.0,0.13,0.46,0.0,0.25,0.43,0.0,8.0,21.0,0.0,1.25,0.5,0.0,0.12,0.63,0.44,0.26,0.92,0.27,0.05,0.32,0.22,0.09,0.5,0.25,0.25,0.5,0.38,8.0,8.0,13.0,0.32,0.62,19.0,8.0,0.5,2.0,0.0,0.35,0.44,0.0,0.0,0.0,0.0,1.0,1.0,17.0,9.0,0.0,1.0,0.0,0.0,1.0,0.62,0.28,0.18,0.08,0.38,0.15,0.07
114464,G. Ferreyra,RCB,Melbourne City,0.07,0.0,0.38,13.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.38,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.02,0.04,0.02,0.02,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.33,0.33,1.0,6.0,6.0,0.38,0.67,8.0,3.0,1.0,1.0,0.0,0.14,0.33,1.0,0.0,0.0,1.0,0.0,0.0,7.0,3.0,2.0,0.0,0.0,1.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0
923862,D. Peraic-Cullen,GK,CC Mariners,0.0,0.0,0.38,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.25,0.0,9.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.67,0.0,4.0,6.0,3.0,0.5,1.0,8.0,1.0,0.0,0.0,0.17,0.0,0.0,0.67,0.0,0.0,0.0,0.0,6.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50992,K. Trewin,RCB,Melbourne City,0.27,0.05,0.35,75.0,1.0,0.0,0.08,0.16,0.0,0.0,0.0,0.02,0.0,0.0,0.01,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.02,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.5,0.25,0.03,0.23,0.0,0.01,0.04,0.0,0.53,0.29,0.0,17.0,58.0,0.0,0.75,0.25,0.0,0.1,0.07,0.1,0.14,0.12,0.0,0.01,0.01,0.02,0.02,0.02,0.0,0.4,0.3,0.35,15.0,23.0,37.0,0.31,0.42,49.0,12.0,0.0,0.0,0.38,0.31,0.5,0.5,0.0,0.0,0.0,0.0,8.0,52.0,12.0,2.0,0.0,0.0,1.0,0.0,0.17,0.03,0.0,0.0,0.05,0.0,0.0
795510,B. Kaltak,CB,CC Mariners,0.06,0.01,0.34,32.0,0.25,0.01,0.01,0.01,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.01,0.05,0.0,0.0,0.0,0.0,0.25,0.4,0.0,12.0,20.0,0.0,0.25,0.0,0.01,0.05,0.0,0.02,0.04,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.6,0.38,14.0,5.0,13.0,0.42,0.0,26.0,1.0,0.0,0.0,0.42,0.31,0.0,0.33,0.0,0.0,0.0,0.0,12.0,16.0,1.0,3.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.01,0.0,0.0
